"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C7,C8,C10,C11,C13,C18,C22,C23","8","22u","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C9,C12,C14,C15,C19","5","100n","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C16","1","4u7","DNP","Excluded from BOM","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C17","1","4u7","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C20","1","10u","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C21","1","0.1u","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C24","1","75p","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"CR1,CR2","2","MMSZ5236B-7-F","","","","SOD123_DIO","MMSZ5236B-7-F"
"D1","1","LED_RGBA","","","","LED_SMD:LED_RGB_Wuerth-PLCC4_3.2x2.8mm_150141M173100","~"
"D2","1","LED","","","","LED_SMD:LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~"
"D3","1","PESD5V0S1UL_315","","","","Extra:DIO_PESD5V0S1UL_315",""
"D4","1","SS34","","","","Diode_SMD:D_SMA","https://www.vishay.com/docs/88751/ss32.pdf"
"F2","1","Polyfuse 500ma","","","","Fuse:Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"F3","1","Polyfuse 1.2-1.5A hold","","","","Fuse:Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"H1,H2,H3,H4","4","Hole_Pad","","Excluded from BOM","","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~"
"J2","1","Conn_01x04_Socket","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"J3","1","Conn_02x06_Odd_Even","","","","Connector_PinHeader_2.54mm:PinHeader_2x06_P2.54mm_Vertical","~"
"J4","1","Barrel_Jack","","","","CUI_PJ-002B","~"
"J5","1","USB_C_Receptacle_USB2.0_16P","","","","Connector_USB:USB_C_Receptacle_Amphenol_12401948E412A","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J7","1","Conn_01x02_Socket","","","","Connector:Banana_Jack_2Pin","~"
"L1","1","15u","","","","Inductor_SMD:L_0805_2012Metric","~"
"L2,L3","2","MPZ2012S221AT000","","","","IND_2012_TDK","MPZ2012S221AT000"
"Q1","1","UMH3N","","","","Package_TO_SOT_SMD:SOT-363_SC-70-6","http://rohmfs.rohm.com/en/products/databook/datasheet/discrete/transistor/digital/emh3t2r-e.pdf"
"Q3,Q6","2","AO3400A","","","","Package_TO_SOT_SMD:SOT-23","http://www.aosmd.com/pdfs/datasheet/AO3400A.pdf"
"Q4,Q5","2","DMG2305UX-13","","","","Extra:SOT91P240X110-3N",""
"Q7,Q8","2","MMBT3904","","","","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pdf/datasheet/pzt3904-d.pdf"
"Q9,Q10","2","2N3904","","","","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF"
"R6,R8,R9,R10,R28,R29","6","1K","","","","Resistor_SMD:R_0805_2012Metric","~"
"R7,R14,R16","3","10K","","","","Resistor_SMD:R_0805_2012Metric","~"
"R11,R12","2","4K7","","","","Resistor_SMD:R_0805_2012Metric","~"
"R13,R22,R26,R27,R40","5","100K","","","","Resistor_SMD:R_0805_2012Metric","~"
"R15","1","59K 1%","","","","Resistor_SMD:R_0805_2012Metric","~"
"R17,R18","2","22R","","","","Resistor_SMD:R_0805_2012Metric","~"
"R19,R20","2","5k1","","","","Resistor_SMD:R_0805_2012Metric","~"
"R21","1","49.9R","","","","Resistor_SMD:R_0805_2012Metric","~"
"R23","1","13.3K","","","","Resistor_SMD:R_0805_2012Metric","~"
